grid,centroid,c_lon,c_lat,geometry,node,nearest_sap,destination,sap_name,route_length
"1181963.280286 998017.520396, 1181963.280286 999017.520396, 1182963.280286 999017.520396, 1182963.280286 998017.520396, 1181963.280286 998017.520396",POINT (1182463.2802863133 998517.520395831),75.71297963921792,26.85970601079286,"POLYGON ((570322.3099473354 2970599.7849397836, 570331.1994071914 2971600.418013871, 571331.8334022633 2971591.5293788253, 571322.9438419783 2970590.8945549517, 570322.3099473354 2970599.7849397836))",8628003922,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,2353
"1181963.280286 999017.520396, 1181963.280286 1000017.520396, 1182963.280286 1000017.520396, 1182963.280286 999017.520396, 1181963.280286 999017.520396",POINT (1182463.2802863133 999517.520395831),75.71312576267195,26.868739350262835,"POLYGON ((570331.1994071914 2971600.418013871, 570340.0871292332 2972601.0511756246, 571340.7212000012 2972592.1642911583, 571331.8334022633 2971591.5293788253, 570331.1994071914 2971600.418013871))",8611030028,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,1239
"1181963.280286 1000017.520396, 1181963.280286 1001017.520396, 1182963.280286 1001017.520396, 1182963.280286 1000017.520396, 1181963.280286 1000017.520396",POINT (1182463.2802863133 1000517.520395831),75.71327190936047,26.877772678437918,"POLYGON ((570340.0871292332 2972601.0511756246, 570348.9731126667 2973601.684400307, 571349.607234393 2973592.799267215, 571340.7212000012 2972592.1642911583, 570340.0871292332 2972601.0511756246))",8611672870,POINT (571114.4996736187 2973152.778458974),8120330622,Kamla Nehru,454
"1181963.280286 1001017.520396, 1181963.280286 1002017.520396, 1182963.280286 1002017.520396, 1182963.280286 1001017.520396, 1181963.280286 1001017.520396",POINT (1182463.2802863133 1001517.520395831),75.71341807928901,26.88680599509214,"POLYGON ((570348.9731126667 2973601.684400307, 570357.8573566957 2974602.3176631806, 571358.4915046411 2974593.434282259, 571349.607234393 2973592.799267215, 570348.9731126667 2973601.684400307))",8629218710,POINT (571114.4996736187 2973152.778458974),8120330622,Kamla Nehru,1099
"1181963.280286 1002017.520396, 1181963.280286 1003017.520396, 1182963.280286 1003017.520396, 1182963.280286 1002017.520396, 1181963.280286 1002017.520396",POINT (1182463.2802863133 1002517.520395831),75.71356427246315,26.89583929999943,"POLYGON ((570357.8573566957 2974602.3176631806, 570366.7398605272 2975602.950939504, 571367.374009953 2975594.069311549, 571358.4915046411 2974593.434282259, 570357.8573566957 2974602.3176631806))",8629258087,POINT (572491.8052991803 2975745.3162417584),3659485300,Chitrakoot stadium,2946
"1181963.280286 1003017.520396, 1181963.280286 1004017.520396, 1182963.280286 1004017.520396, 1182963.280286 1003017.520396, 1181963.280286 1003017.520396",POINT (1182463.2802863133 1003517.520395831),75.7137104888884,26.9048725929338,"POLYGON ((570366.7398605272 2975602.950939504, 570375.6206233685 2976603.5842045415, 571376.2547495284 2976594.7043303475, 571367.374009953 2975594.069311549, 570366.7398605272 2975602.950939504))",3933428132,POINT (572331.2176549354 2976187.967684303),8090746732,Gandhi Path Pulia,1731
"1181963.280286 1004017.520396, 1181963.280286 1005017.520396, 1182963.280286 1005017.520396, 1182963.280286 1004017.520396, 1181963.280286 1004017.520396",POINT (1182463.2802863133 1004517.520395831),75.71385672857033,26.913905873669155,"POLYGON ((570375.6206233685 2976603.5842045415, 570384.4996444192 2977604.2174335443, 571385.1337225718 2977595.339313907, 571376.2547495284 2976594.7043303475, 570375.6206233685 2976603.5842045415))",3933423533,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,2196
"1181963.280286 1005017.520396, 1181963.280286 1006017.520396, 1182963.280286 1006017.520396, 1182963.280286 1005017.520396, 1181963.280286 1005017.520396",POINT (1182463.2802863133 1005517.520395831),75.71400299151448,26.922939141979445,"POLYGON ((570384.4996444192 2977604.2174335443, 570393.3769228912 2978604.850601768, 571394.0109282891 2978595.974237482, 571385.1337225718 2977595.339313907, 570384.4996444192 2977604.2174335443))",3935403068,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,1405
"1181963.280286 1006017.520396, 1181963.280286 1007017.520396, 1182963.280286 1007017.520396, 1182963.280286 1006017.520396, 1181963.280286 1006017.520396",POINT (1182463.2802863133 1006517.520395831),75.71414927772639,26.93197239763861,"POLYGON ((570393.3769228912 2978604.850601768, 570402.2524579866 2979605.483684466, 571402.8863658827 2979596.609076327, 571394.0109282891 2978595.974237482, 570393.3769228912 2978604.850601768))",8637162830,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,2255
"1181963.280286 1007017.520396, 1181963.280286 1008017.520396, 1182963.280286 1008017.520396, 1182963.280286 1007017.520396, 1181963.280286 1007017.520396",POINT (1182463.2802863133 1007517.520395831),75.71429558721164,26.94100564042051,"POLYGON ((570402.2524579866 2979605.483684466, 570411.1262489149 2980606.1166568906, 571411.7600345568 2980597.2438056916, 571402.8863658827 2979596.609076327, 570402.2524579866 2979605.483684466))",3935393056,POINT (572697.8815283156 2980619.925300294),2428766906,PULIA BUS STAND,2522
