grid,centroid,c_lon,c_lat,geometry
"1181963.280286 998017.520396, 1181963.280286 999017.520396, 1182963.280286 999017.520396, 1182963.280286 998017.520396, 1181963.280286 998017.520396",POINT (1182463.2802863133 998517.520395831),75.71297963921792,26.85970601079286,"POLYGON ((75.70787091588998 26.85525476847184, 75.70801662750968 26.864288118626774, 75.71808876275809 26.864157065704074, 75.71794225070146 26.85512372580776, 75.70787091588998 26.85525476847184))"
"1181963.280286 999017.520396, 1181963.280286 1000017.520396, 1182963.280286 1000017.520396, 1182963.280286 999017.520396, 1181963.280286 999017.520396",POINT (1182463.2802863133 999517.520395831),75.71312576267195,26.868739350262835,"POLYGON ((75.70801662750968 26.864288118626774, 75.70816236229747 26.873321457599026, 75.71823529811006 26.87319039441932, 75.71808876275809 26.864157065704074, 75.70801662750968 26.864288118626774))"
"1181963.280286 1000017.520396, 1181963.280286 1001017.520396, 1182963.280286 1001017.520396, 1182963.280286 1000017.520396, 1181963.280286 1000017.520396",POINT (1182463.2802863133 1000517.520395831),75.71327190936047,26.877772678437914,"POLYGON ((75.70816236229747 26.873321457599026, 75.70830812025892 26.882354785162565, 75.71838185676292 26.882223711727505, 75.71823529811006 26.87319039441932, 75.70816236229747 26.873321457599026))"
"1181963.280286 1001017.520396, 1181963.280286 1002017.520396, 1182963.280286 1002017.520396, 1182963.280286 1001017.520396, 1181963.280286 1001017.520396",POINT (1182463.2802863133 1001517.520395831),75.71341807928901,26.88680599509214,"POLYGON ((75.70830812025892 26.882354785162565, 75.70845390139952 26.8913881010914, 75.7185284387222 26.891257017402634, 75.71838185676292 26.882223711727505, 75.70830812025892 26.882354785162565))"
"1181963.280286 1002017.520396, 1181963.280286 1003017.520396, 1182963.280286 1003017.520396, 1182963.280286 1002017.520396, 1181963.280286 1002017.520396",POINT (1182463.2802863133 1002517.520395831),75.71356427246315,26.89583929999943,"POLYGON ((75.70845390139952 26.8913881010914, 75.70859970572484 26.900421405159474, 75.71867504399351 26.90029031121866, 75.7185284387222 26.891257017402634, 75.70845390139952 26.8913881010914))"
"1181963.280286 1003017.520396, 1181963.280286 1004017.520396, 1182963.280286 1004017.520396, 1182963.280286 1003017.520396, 1181963.280286 1003017.520396",POINT (1182463.2802863133 1003517.520395831),75.7137104888884,26.904872592933796,"POLYGON ((75.70859970572484 26.900421405159474, 75.70874553324039 26.909454697140784, 75.71882167258238 26.909323592949566, 75.71867504399351 26.90029031121866, 75.70859970572484 26.900421405159474))"
"1181963.280286 1004017.520396, 1181963.280286 1005017.520396, 1182963.280286 1005017.520396, 1182963.280286 1004017.520396, 1181963.280286 1004017.520396",POINT (1182463.2802863133 1004517.520395831),75.71385672857033,26.913905873669155,"POLYGON ((75.70874553324039 26.909454697140784, 75.70889138395168 26.91848797680923, 75.71896832449437 26.918356862369258, 75.71882167258238 26.909323592949566, 75.70874553324039 26.909454697140784))"
"1181963.280286 1005017.520396, 1181963.280286 1006017.520396, 1182963.280286 1006017.520396, 1182963.280286 1005017.520396, 1181963.280286 1005017.520396",POINT (1182463.2802863133 1005517.520395831),75.71400299151448,26.922939141979445,"POLYGON ((75.70889138395168 26.91848797680923, 75.70903725786428 26.927521243938738, 75.71911499973507 26.92739011925167, 75.71896832449437 26.918356862369258, 75.70889138395168 26.91848797680923))"
"1181963.280286 1006017.520396, 1181963.280286 1007017.520396, 1182963.280286 1007017.520396, 1182963.280286 1006017.520396, 1181963.280286 1006017.520396",POINT (1182463.2802863133 1006517.520395831),75.71414927772639,26.93197239763861,"POLYGON ((75.70903725786428 26.927521243938738, 75.70918315498369 26.936554498303234, 75.71926169831002 26.93642336337071, 75.71911499973507 26.92739011925167, 75.70903725786428 26.927521243938738))"
"1181963.280286 1007017.520396, 1181963.280286 1008017.520396, 1182963.280286 1008017.520396, 1182963.280286 1007017.520396, 1181963.280286 1007017.520396",POINT (1182463.2802863133 1007517.520395831),75.71429558721164,26.94100564042051,"POLYGON ((75.70918315498369 26.936554498303234, 75.7093290753155 26.945587739676604, 75.7194084202248 26.945456594500275, 75.71926169831002 26.93642336337071, 75.70918315498369 26.936554498303234))"
